timestamp,predicted_co2
2025/5/20 15:37,657
2025/5/20 15:52,635.0212402
2025/5/20 16:07,621.7158813476562
2025/5/20 16:22,614.1762695
2025/5/20 16:37,610.3146973
2025/5/20 16:52,608.6878662109375
2025/5/20 17:07,608.3880615234375
2025/5/20 17:22,608.8089599609375
2025/5/20 17:37,609.5599365234375
2025/5/20 17:52,610.3986206054688
2025/5/20 18:07,611.1817016601562
2025/5/20 18:22,611.8312988
2025/5/20 18:37,612.3118896484375
2025/5/20 18:52,612.6142578
2025/5/20 19:07,612.7447509765625
2025/5/20 19:22,612.7181396484375
2025/5/20 19:37,612.5530395507812
2025/5/20 19:52,612.2689819335938
2025/5/20 20:07,611.8848266601562
2025/5/20 20:22,611.4177246
2025/5/20 20:37,610.8828125
2025/5/20 20:52,610.2930297851562
2025/5/20 21:07,609.6593627929688
2025/5/20 21:22,608.9907836914062
2025/5/20 21:37,608.2946166992188
2025/5/20 21:52,607.5769043
2025/5/20 22:07,606.8423461914062
2025/5/20 22:22,606.0947266
2025/5/20 22:37,605.3370361328125
2025/5/20 22:52,604.5715942382812
2025/5/20 23:07,603.8002319335938
2025/5/20 23:22,603.0243530273438
2025/5/20 23:37,602.2449951171875
2025/5/20 23:52,601.4630126953125
2025/5/21 0:07,600.6790771484375
2025/5/21 0:22,599.8936157226562
2025/5/21 0:37,599.1069946289062
2025/5/21 0:52,598.3195190429688
2025/5/21 1:07,597.5313720703125
2025/5/21 1:22,596.7427368164062
2025/5/21 1:37,595.9537353515625
2025/5/21 1:52,595.1644897460938
2025/5/21 2:07,594.375
2025/5/21 2:22,593.5853271484375
2025/5/21 2:37,592.7955322265625
2025/5/21 2:52,592.0056152
2025/5/21 3:07,591.2156372070312
2025/5/21 3:22,590.4255981445312
2025/5/21 3:37,589.635498
2025/5/21 3:52,588.8453979492188
2025/5/21 4:07,588.0552368164062
2025/5/21 4:22,587.2650756835938
2025/5/21 4:37,586.4749145507812
2025/5/21 4:52,585.6846923828125
2025/5/21 5:07,584.8944702148438
2025/5/21 5:22,584.104248
2025/5/21 5:37,583.3140258789062
2025/5/21 5:52,582.5238037109375
2025/5/21 6:07,581.7335815429688
2025/5/21 6:22,580.9432983398438
2025/5/21 6:37,580.1530151367188
2025/5/21 6:52,579.3627319335938
2025/5/21 7:07,578.5724487304688
2025/5/21 7:22,577.7821655273438
2025/5/21 7:37,576.9918823242188
2025/5/21 7:52,576.2015991210938
2025/5/21 8:07,575.4113159179688
2025/5/21 8:22,574.6210327148438
2025/5/21 8:37,573.8307495117188
2025/5/21 8:52,573.0404663085938
2025/5/21 9:07,572.2501831054688
2025/5/21 9:22,571.4598999023438
2025/5/21 9:37,570.6696166992188
2025/5/21 9:52,569.8793334960938
2025/5/21 10:07,569.0890502929688
2025/5/21 10:22,568.2987670898438
2025/5/21 10:37,567.5084838867188
2025/5/21 10:52,566.7182006835938
2025/5/21 11:07,565.9279174804688
2025/5/21 11:22,565.1376342773438
2025/5/21 11:37,564.3473510742188
2025/5/21 11:52,563.5570678710938
2025/5/21 12:07,562.7667846679688
2025/5/21 12:22,561.9765014648438
2025/5/21 12:37,561.1862182617188
2025/5/21 12:52,560.3959350585938
2025/5/21 13:07,559.6056518554688
2025/5/21 13:22,558.8153686523438
2025/5/21 13:37,558.0250854492188
2025/5/21 13:52,557.2348022460938
2025/5/21 14:07,556.4445190429688
2025/5/21 14:22,555.6542358398438
2025/5/21 14:37,554.8639526367188
2025/5/21 14:52,554.0736694335938
2025/5/21 15:07,553.2833862304688
2025/5/21 15:22,552.4931030273438
2025/5/21 15:37,551.7028198242188
2025/5/21 15:52,550.9125366210938
2025/5/21 16:07,550.1222534179688
2025/5/21 16:22,549.3319702148438
2025/5/21 16:37,548.5416870117188
2025/5/21 16:52,547.7514038085938
2025/5/21 17:07,546.9611206054688
2025/5/21 17:22,546.1708374023438
2025/5/21 17:37,545.3805541992188
2025/5/21 17:52,544.5902709960938
2025/5/21 18:07,543.7999877929688
2025/5/21 18:22,543.0097045898438
2025/5/21 18:37,542.2194213867188
2025/5/21 18:52,541.4291381835938
2025/5/21 19:07,540.6388549804688
2025/5/21 19:22,539.8485717773438
2025/5/21 19:37,539.0582885742188
2025/5/21 19:52,538.2680053710938
2025/5/21 20:07,537.4777221679688
2025/5/21 20:22,536.6874389648438
2025/5/21 20:37,535.8971557617188
2025/5/21 20:52,535.1068725585938
2025/5/21 21:07,534.3165893554688
2025/5/21 21:22,533.5263061523438
2025/5/21 21:37,532.7360229492188
2025/5/21 21:52,531.9457397460938
2025/5/21 22:07,531.1554565429688
2025/5/21 22:22,530.3651733398438
2025/5/21 22:37,529.5748901367188
2025/5/21 22:52,528.7846069335938
2025/5/21 23:07,527.9943237304688
2025/5/21 23:22,527.2040405273438
2025/5/21 23:37,526.4137573242188
2025/5/21 23:52,525.6234741210938
2025/5/22 0:07,524.8331909179688
2025/5/22 0:22,524.0429077148438
2025/5/22 0:37,523.2526245117188
2025/5/22 0:52,522.4623413085938
2025/5/22 1:07,521.6720581054688
2025/5/22 1:22,520.8817749023438
2025/5/22 1:37,520.0914916992188
2025/5/22 1:52,519.3012084960938
2025/5/22 2:07,518.5109252929688
2025/5/22 2:22,517.7206420898438
2025/5/22 2:37,516.9303588867188
2025/5/22 2:52,516.1400756835938
2025/5/22 3:07,515.3497924804688
2025/5/22 3:22,514.5595092773438
2025/5/22 3:37,513.7692260742188
